epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,246.902,1.59672,1.2253,1.3725,0.67924,0.61468,0.65038,0.29312,1.89087,1.54051,1.68863,0.001076,0.001076,0.001076
30,255.749,1.60855,1.28885,1.42275,0.5913,0.59633,0.5918,0.29084,1.92649,1.55324,1.70584,0.001043,0.001043,0.001043
31,263.403,1.56038,1.19999,1.39466,0.60215,0.66652,0.63444,0.30119,1.84631,1.41768,1.68814,0.00101,0.00101,0.00101
32,272.51,1.56159,1.18267,1.35247,0.57149,0.6789,0.64026,0.31958,1.83022,1.49604,1.64525,0.000977,0.000977,0.000977
33,281.258,1.5563,1.1721,1.35078,0.59189,0.6789,0.64713,0.31588,1.84953,1.62524,1.6476,0.000944,0.000944,0.000944
34,288.818,1.51149,1.145,1.35428,0.63867,0.63242,0.62952,0.29083,1.97023,1.61968,1.73516,0.000911,0.000911,0.000911
35,297.324,1.5252,1.13108,1.35648,0.54564,0.70514,0.63171,0.30054,1.85774,1.47123,1.66327,0.000878,0.000878,0.000878
36,306.354,1.51299,1.14935,1.37812,0.62443,0.69725,0.65484,0.31113,1.84713,1.52552,1.64567,0.000845,0.000845,0.000845
37,313.859,1.51658,1.13163,1.33449,0.71396,0.57798,0.67227,0.32067,1.89476,1.51728,1.66211,0.000812,0.000812,0.000812
38,322.529,1.50832,1.14173,1.32836,0.67576,0.6055,0.65162,0.31819,1.89573,1.63688,1.62307,0.000779,0.000779,0.000779
39,331.144,1.51696,1.13675,1.3569,0.65254,0.62385,0.64537,0.30313,1.91356,1.64234,1.67387,0.000746,0.000746,0.000746
40,339.226,1.48064,1.13152,1.33035,0.72106,0.53211,0.64767,0.31972,1.88156,1.51408,1.63236,0.000713,0.000713,0.000713
41,347.971,1.44873,1.08452,1.31188,0.61851,0.66055,0.62888,0.30346,1.86143,1.55112,1.59238,0.00068,0.00068,0.00068
42,355.399,1.45893,1.09139,1.30077,0.62398,0.6789,0.67862,0.31124,1.88944,1.45711,1.66715,0.000647,0.000647,0.000647
43,364.526,1.45355,1.09158,1.33156,0.67747,0.6055,0.66078,0.30428,1.88239,1.46277,1.64116,0.000614,0.000614,0.000614
44,373.634,1.4248,1.03865,1.29232,0.75738,0.57281,0.69402,0.32311,1.90123,1.40844,1.70491,0.000581,0.000581,0.000581
45,382.254,1.43266,1.02761,1.30418,0.6159,0.65138,0.6863,0.31578,1.90111,1.44389,1.74258,0.000548,0.000548,0.000548
46,391.273,1.42108,0.99473,1.30435,0.78641,0.58716,0.67513,0.32951,1.88035,1.47621,1.68919,0.000515,0.000515,0.000515
47,400.278,1.42891,1.00409,1.29658,0.68858,0.66942,0.68413,0.33994,1.89485,1.38232,1.6831,0.000482,0.000482,0.000482
48,408.655,1.41612,1.01388,1.29116,0.76678,0.54295,0.66199,0.32102,1.92153,1.46373,1.72456,0.000449,0.000449,0.000449
49,417.742,1.37823,0.9665,1.27324,0.67802,0.58716,0.66412,0.31215,1.92876,1.54182,1.68957,0.000416,0.000416,0.000416
50,426.672,1.39344,0.9878,1.27757,0.64456,0.62385,0.67757,0.33107,1.90756,1.49043,1.70386,0.000383,0.000383,0.000383
51,437.109,1.36644,0.98176,1.28411,0.6473,0.6055,0.63969,0.30118,1.88303,1.72953,1.69539,0.00035,0.00035,0.00035
52,445.241,1.35333,0.97615,1.29243,0.7035,0.65138,0.67573,0.32437,1.89022,1.47227,1.74269,0.000317,0.000317,0.000317
53,454.014,1.33718,0.91095,1.27809,0.65812,0.63581,0.68826,0.32316,1.86356,1.44403,1.66551,0.000284,0.000284,0.000284
54,462.16,1.28829,0.91293,1.25723,0.78915,0.59633,0.6966,0.33694,1.80172,1.48707,1.61975,0.000251,0.000251,0.000251
55,470.134,1.31157,0.88212,1.24854,0.79618,0.59633,0.70462,0.32958,1.8224,1.50645,1.61452,0.000218,0.000218,0.000218
56,479.411,1.27197,0.86302,1.24889,0.76634,0.62385,0.7064,0.34309,1.82529,1.51602,1.61816,0.000185,0.000185,0.000185
57,486.745,1.25561,0.84347,1.2276,0.73634,0.63303,0.70344,0.34212,1.7988,1.48045,1.61055,0.000152,0.000152,0.000152
58,495.917,1.2269,0.83456,1.21337,0.67523,0.64856,0.69122,0.33967,1.79418,1.47028,1.61599,0.000119,0.000119,0.000119
59,505.096,1.22729,0.81983,1.21724,0.67623,0.66055,0.7054,0.34321,1.82022,1.43475,1.62898,8.6e-05,8.6e-05,8.6e-05
60,512.512,1.24209,0.82205,1.21761,0.68512,0.66055,0.70995,0.34169,1.82625,1.45092,1.62126,5.3e-05,5.3e-05,5.3e-05
