epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0699,1.905,2.79833,1.71255,0.00837,0.94495,0.24654,0.09925,1.8109,2.993,1.4834,0.00044,0.00044,0.00044
2,20.9455,1.80323,2.08421,1.58119,0.09901,0.45872,0.15182,0.05587,1.83302,3.08896,1.68551,0.00088515,0.00088515,0.00088515
3,28.5538,1.83892,2.03836,1.6153,0.45718,0.24727,0.23894,0.10446,2.06902,2.76656,2.01211,0.00131512,0.00131512,0.00131512
4,37.665,1.91356,1.99582,1.65497,0.31139,0.30275,0.21936,0.08696,2.15689,2.86977,2.01575,0.00172991,0.00172991,0.00172991
5,46.2919,1.81036,1.82413,1.54789,0.18661,0.3211,0.1758,0.06092,2.16349,4.98434,2.12093,0.001868,0.001868,0.001868
6,53.791,1.82885,1.84968,1.55289,0.35476,0.40859,0.33013,0.11946,2.04896,2.9105,1.92221,0.001835,0.001835,0.001835
7,62.3673,1.82348,1.75847,1.55876,0.49425,0.55963,0.46259,0.18489,2.10221,2.02582,1.90628,0.001802,0.001802,0.001802
8,71.451,1.82052,1.70636,1.54603,0.46265,0.59244,0.5123,0.22486,2.05475,1.78205,1.82643,0.001769,0.001769,0.001769
9,78.9846,1.74834,1.6235,1.53217,0.6301,0.47706,0.49496,0.19959,2.12926,2.00514,1.92454,0.001736,0.001736,0.001736
10,87.9766,1.76205,1.6071,1.52444,0.5384,0.54128,0.48428,0.20318,2.10565,1.94204,1.92096,0.001703,0.001703,0.001703
11,96.6358,1.75845,1.63871,1.55077,0.69526,0.43956,0.4913,0.21531,2.02347,1.91462,1.86324,0.00167,0.00167,0.00167
12,104.691,1.80008,1.60929,1.5471,0.6903,0.43119,0.5485,0.23136,1.98366,1.79185,1.78169,0.001637,0.001637,0.001637
13,113.331,1.69457,1.49857,1.49387,0.58269,0.51376,0.53836,0.25754,1.93224,1.77612,1.71325,0.001604,0.001604,0.001604
14,121.682,1.76582,1.54389,1.51772,0.52135,0.52294,0.46974,0.1927,2.1207,1.85091,1.91571,0.001571,0.001571,0.001571
15,130.063,1.75293,1.48534,1.4985,0.60438,0.53259,0.56423,0.24279,2.06147,1.76067,1.80974,0.001538,0.001538,0.001538
16,138.796,1.72348,1.4582,1.49699,0.6198,0.55963,0.55975,0.24992,2.08039,1.73263,1.79547,0.001505,0.001505,0.001505
17,146.46,1.72501,1.50433,1.51127,0.64653,0.57056,0.5826,0.26136,1.92247,1.55354,1.65975,0.001472,0.001472,0.001472
18,154.895,1.69315,1.45578,1.46643,0.57101,0.58716,0.59842,0.27073,1.97739,1.65477,1.75984,0.001439,0.001439,0.001439
19,163.977,1.69823,1.38544,1.47332,0.55266,0.54128,0.52142,0.23883,1.93047,1.80227,1.7249,0.001406,0.001406,0.001406
20,171.675,1.65781,1.37692,1.4403,0.70606,0.47706,0.5743,0.26238,1.93055,1.71398,1.67287,0.001373,0.001373,0.001373
21,180.266,1.67251,1.35216,1.44382,0.66384,0.53211,0.5895,0.25925,1.96557,1.66993,1.75784,0.00134,0.00134,0.00134
22,188.771,1.64442,1.35249,1.43671,0.58631,0.51376,0.51085,0.24413,1.86349,1.90344,1.71598,0.001307,0.001307,0.001307
23,196.494,1.64562,1.36201,1.43769,0.59553,0.55046,0.56149,0.26648,1.92,1.73795,1.69227,0.001274,0.001274,0.001274
24,205.047,1.59733,1.31161,1.41947,0.64932,0.56059,0.61068,0.279,1.93468,1.64533,1.66823,0.001241,0.001241,0.001241
25,213.472,1.62214,1.30798,1.4161,0.72858,0.55046,0.608,0.26871,1.9697,1.70164,1.76409,0.001208,0.001208,0.001208
26,221.713,1.58363,1.22059,1.37731,0.72613,0.49541,0.57435,0.27644,1.89552,1.70897,1.69211,0.001175,0.001175,0.001175
27,230.473,1.59519,1.26833,1.41262,0.65917,0.6055,0.64361,0.30811,1.80903,1.57066,1.6425,0.001142,0.001142,0.001142
28,238.224,1.60167,1.23424,1.42825,0.64891,0.57798,0.60332,0.27985,1.9965,1.71442,1.65807,0.001109,0.001109,0.001109
