epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,364.046,1.39887,0.9954,1.32042,0.69517,0.72973,0.72365,0.36736,1.68035,1.29023,1.55098,0.000581,0.000581,0.000581
45,371.582,1.4112,0.99383,1.30503,0.73543,0.63964,0.71501,0.36484,1.66316,1.28528,1.50758,0.000548,0.000548,0.000548
46,380.373,1.40961,1.01508,1.30748,0.79864,0.68468,0.74297,0.38134,1.58135,1.27407,1.46754,0.000515,0.000515,0.000515
47,388.946,1.33661,0.95642,1.29336,0.75332,0.68783,0.75282,0.38037,1.64461,1.25148,1.505,0.000482,0.000482,0.000482
48,396.828,1.34064,0.94579,1.26781,0.64152,0.76577,0.76951,0.36692,1.78133,1.28631,1.593,0.000449,0.000449,0.000449
49,405.53,1.31409,0.92166,1.26892,0.75399,0.63507,0.72471,0.34766,1.7503,1.23952,1.58911,0.000416,0.000416,0.000416
50,413.509,1.30265,0.89526,1.25097,0.75805,0.70566,0.73208,0.36342,1.7066,1.23752,1.54985,0.000383,0.000383,0.000383
51,423.955,1.30722,0.93256,1.27921,0.83018,0.63063,0.7413,0.37256,1.63306,1.24591,1.48679,0.00035,0.00035,0.00035
52,432.491,1.28173,0.8777,1.26853,0.76462,0.64386,0.74037,0.38537,1.6089,1.21895,1.49418,0.000317,0.000317,0.000317
53,440.61,1.28028,0.83531,1.26053,0.65691,0.78378,0.74446,0.37905,1.62161,1.18456,1.48738,0.000284,0.000284,0.000284
54,448.442,1.2334,0.80459,1.22768,0.70931,0.7027,0.74969,0.36956,1.66266,1.25873,1.48292,0.000251,0.000251,0.000251
55,457.022,1.18586,0.79598,1.21401,0.74436,0.68206,0.75955,0.3832,1.69336,1.26451,1.51323,0.000218,0.000218,0.000218
56,464.428,1.20962,0.75863,1.20012,0.73545,0.69369,0.75358,0.3946,1.66512,1.18979,1.50635,0.000185,0.000185,0.000185
57,472.818,1.17414,0.76457,1.19509,0.7276,0.72973,0.76169,0.38497,1.66579,1.19475,1.51915,0.000152,0.000152,0.000152
58,481.304,1.18419,0.77456,1.1997,0.72823,0.74835,0.75669,0.38329,1.70416,1.22123,1.52341,0.000119,0.000119,0.000119
59,488.719,1.17006,0.74667,1.1833,0.68062,0.80636,0.76211,0.38447,1.66797,1.21901,1.48933,8.6e-05,8.6e-05,8.6e-05
60,497.182,1.16678,0.72881,1.19141,0.66958,0.79279,0.7513,0.38135,1.66829,1.21396,1.49614,5.3e-05,5.3e-05,5.3e-05
