epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,410.355,1.45397,1.0293,1.40231,0.66641,0.6326,0.68646,0.33549,1.91104,1.24537,1.63376,0.000581,0.000581,0.000581
45,421.048,1.40876,0.9761,1.36662,0.70242,0.58333,0.68245,0.34597,1.84747,1.31479,1.58451,0.000548,0.000548,0.000548
46,430.368,1.43126,0.98558,1.37185,0.5871,0.73333,0.69054,0.33562,1.85337,1.2571,1.59107,0.000515,0.000515,0.000515
47,438.953,1.41835,0.99646,1.37242,0.76386,0.53914,0.70882,0.35877,1.9251,1.28582,1.62616,0.000482,0.000482,0.000482
48,448.236,1.32974,0.94771,1.32122,0.67629,0.63333,0.69281,0.35056,1.94065,1.32495,1.62952,0.000449,0.000449,0.000449
49,457.548,1.33906,0.91301,1.32308,0.68881,0.6087,0.70765,0.3385,1.98775,1.29817,1.67166,0.000416,0.000416,0.000416
50,466.569,1.34801,0.90512,1.3215,0.68532,0.60833,0.6936,0.33723,1.97173,1.36396,1.67545,0.000383,0.000383,0.000383
51,477.441,1.36238,0.94793,1.36068,0.65149,0.63871,0.6792,0.32275,1.94211,1.48917,1.67372,0.00035,0.00035,0.00035
52,486.26,1.33363,0.88926,1.33666,0.68026,0.65601,0.71106,0.3398,1.89497,1.27496,1.6598,0.000317,0.000317,0.000317
53,495.575,1.32671,0.90666,1.32922,0.65317,0.68333,0.71173,0.34274,1.96323,1.27891,1.67769,0.000284,0.000284,0.000284
54,503.855,1.31742,0.84985,1.33161,0.63187,0.71667,0.72115,0.34749,1.92725,1.28215,1.66503,0.000251,0.000251,0.000251
55,512.659,1.28234,0.83874,1.30099,0.66752,0.63579,0.71345,0.34389,1.88544,1.26365,1.63649,0.000218,0.000218,0.000218
56,523.298,1.25569,0.82063,1.28401,0.64042,0.675,0.71536,0.3553,1.91774,1.38921,1.65227,0.000185,0.000185,0.000185
57,531.503,1.20549,0.78984,1.2666,0.67279,0.60833,0.70933,0.36332,1.9124,1.31906,1.68077,0.000152,0.000152,0.000152
58,540.425,1.23087,0.79216,1.29767,0.66816,0.68795,0.73408,0.37599,1.88115,1.23264,1.6414,0.000119,0.000119,0.000119
59,549.645,1.21318,0.76924,1.26814,0.6873,0.63333,0.7145,0.36575,1.88069,1.2705,1.63926,8.6e-05,8.6e-05,8.6e-05
60,558.328,1.20899,0.74958,1.26135,0.74506,0.59167,0.71668,0.36299,1.89505,1.26969,1.65066,5.3e-05,5.3e-05,5.3e-05
